Mod,Category,Installation,Type,Tested,Target MC,Server Status,Server File,Client Package,Last Tested,Resolved Source,URL,DB Notes
Moog's Structure Lib (moogs_structures),Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7921038,https://www.curseforge.com/minecraft/mc-mods/moogs-structure-lib,Auto-added as required dependency while processing SQLite URL batch.
More Axolotl Variants API,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7809635,https://www.curseforge.com/minecraft/mc-mods/mavapi,Auto-added as required dependency while processing SQLite URL batch.
Puzzles Lib,Dependency,Server + client,Dependency,OK,NeoForge 26.1.x / server 26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8168213,https://www.curseforge.com/minecraft/mc-mods/puzzles-lib,Required dependency for Leaves Be Gone.
Sapling,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8088322,https://www.curseforge.com/minecraft/mc-mods/sapling,Auto-added as required dependency while processing SQLite URL batch.
Unified API,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8143211,https://www.curseforge.com/minecraft/mc-mods/unified-api,Auto-added as required dependency while processing SQLite URL batch.
Volumetrics,Dependency,Server + client,Dependency,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7806225,https://www.curseforge.com/minecraft/mc-mods/volumetrics,Auto-added as required dependency while processing SQLite URL batch.
Clean Swing Through Grass,Requested 2026-06-03,Server + client,Mod,OK,NeoForge 26.1.x / server 26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7934502,https://www.curseforge.com/minecraft/mc-mods/clean-swing-through-grass,Final active-set boot test 20260603_next_final_active_set reached Done; filtered error count 0.
Double Doors,Requested 2026-06-03,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7902248,https://www.curseforge.com/minecraft/mc-mods/double-doors,Collective dependency was already active.
Geophilic,Requested 2026-06-03,Server + client,Mod,OK,NeoForge 26.1.x / server 26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable mc-mod release file 8074028,https://www.curseforge.com/minecraft/mc-mods/geophilic,"Used mc-mods project, not datapack project with same slug."
Goblin Traders,Requested 2026-06-03,Server + client,Mod,OK,NeoForge 26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7943154,https://www.curseforge.com/minecraft/mc-mods/goblin-traders,Framework dependency was already active.
Leaves Be Gone,Requested 2026-06-03,Server + client,Mod,OK,NeoForge 26.1.x / server 26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8036435,https://www.curseforge.com/minecraft/mc-mods/leaves-be-gone,Required Puzzles Lib dependency tested first and accepted.
Terralith,Requested 2026-06-03,Server + client,Mod,OK,NeoForge 26.1 / server 26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7841479,https://www.curseforge.com/minecraft/mc-mods/terralith,Lithostitched dependency was already active.
Villager Names,Requested 2026-06-03,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8021608,https://www.curseforge.com/minecraft/mc-mods/villager-names,Collective dependency was already active.
Abandoned Structures,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge beta release file 8173766,https://www.curseforge.com/minecraft/mc-mods/abandoned-structures,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Advanced Fishing,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7810406,https://www.curseforge.com/minecraft/mc-mods/advanced-fishing,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Aether Ruined Portals,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7820043,https://www.curseforge.com/minecraft/mc-mods/aether-ruined-portal,Imported from SQLite URL batch 20260604-next-batch-3 on 2026-06-03.
Alex's Mobs (NeoForge),Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8161099,https://www.curseforge.com/minecraft/mc-mods/alexs-mobs-neoforge,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Animal Armor Trims - Horse & Wolf,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8097461,https://www.curseforge.com/minecraft/mc-mods/animal-armor-trims,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Animal Feeding Trough [Fabric | Forge | Quilt | NeoForge],Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8134834,https://www.curseforge.com/minecraft/mc-mods/animal-feeding-trough,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Animal Garden - Alligator Gar,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7885080,https://www.curseforge.com/minecraft/mc-mods/animal-garden-alligator-gar,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Animal Garden - Bull Shark,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7885548,https://www.curseforge.com/minecraft/mc-mods/animal-garden-bull-shark,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Animal Garden - Common Raven,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7939588,https://www.curseforge.com/minecraft/mc-mods/animal-garden-common-raven,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Animal Garden - Fennec Fox,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7912822,https://www.curseforge.com/minecraft/mc-mods/animal-garden-fennec-fox,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Animal Garden - Manatee,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7906988,https://www.curseforge.com/minecraft/mc-mods/animal-garden-manatee,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Animal Garden - Meerkat,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7910472,https://www.curseforge.com/minecraft/mc-mods/animal-garden-meerkat,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Animal Garden - Mouse,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7910802,https://www.curseforge.com/minecraft/mc-mods/animal-garden-mouse,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Animal Garden - Owl,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7909518,https://www.curseforge.com/minecraft/mc-mods/animal-garden-owl,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Animal Garden - Red River Hog,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7863363,https://www.curseforge.com/minecraft/mc-mods/animal-garden-red-river-hog,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Animal Garden - Snow Leopard,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7867744,https://www.curseforge.com/minecraft/mc-mods/animal-garden-snow-leopard,Imported from SQLite URL batch 20260604-next-batch-4 on 2026-06-03.
Animal Garden - Springhare,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7869431,https://www.curseforge.com/minecraft/mc-mods/animal-garden-springhare,Imported from SQLite URL batch 20260604-next-batch-3 on 2026-06-03.
Animal Garden - Sugar Glider,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7912601,https://www.curseforge.com/minecraft/mc-mods/animal-garden-sugar-glider,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Antique Trading Ship,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8111814,https://www.curseforge.com/minecraft/mc-mods/antique-trading-ship,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
AutoFishing,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8191511,https://www.curseforge.com/minecraft/mc-mods/autofishing,Imported from SQLite URL batch 20260604-autofishing on 2026-06-04.
Axes Are Weapons,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8108686,https://www.curseforge.com/minecraft/mc-mods/axes-are-weapons,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Badland Moai Villager,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887441,https://www.curseforge.com/minecraft/mc-mods/badland-moai-villager,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Bartering Station,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8013744,https://www.curseforge.com/minecraft/mc-mods/bartering-station,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Better Animations Collection,Requested URL batch,Client only,Mod,OK,26.1.2,Client-only: included,/var/minecraft_26.1.2/mods.failed,Included,2026-06-03,CurseForge stable release file 8049282,https://www.curseforge.com/minecraft/mc-mods/better-animations-collection,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Better Fishtanks,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8173930,https://www.curseforge.com/minecraft/mc-mods/better-fishtanks,Imported from SQLite URL batch 20260604-next-batch-3 on 2026-06-03.
Better than Boats,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8146072,https://www.curseforge.com/minecraft/mc-mods/better-than-boats,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Big Lost City - Apocalyptic Structures!,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8110098,https://www.curseforge.com/minecraft/mc-mods/big-lost-city,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Bloom - Overworld Expansion,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8189886,https://www.curseforge.com/minecraft/mc-mods/bloom-mc,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Burger Mod (Forge / NeoForge),Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8154743,https://www.curseforge.com/minecraft/mc-mods/autovws-burger-mod,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Castle in the Sky,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8168379,https://www.curseforge.com/minecraft/mc-mods/castle-in-the-sky-the-fairytale-of-laputa,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Cats Don't Care (CDC),Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8172360,https://www.curseforge.com/minecraft/mc-mods/cats-dont-care,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
CBW Chili Peppers and Foods,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8058084,https://www.curseforge.com/minecraft/mc-mods/cbw-chili-peppers-and-foods,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Chems' Guns,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7887302,https://www.curseforge.com/minecraft/mc-mods/chems-guns,Imported from SQLite URL batch 20260604-next-batch-3 on 2026-06-03.
Cherry Villages! (Mot's Structures),Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8193910,https://www.curseforge.com/minecraft/mc-mods/mots-structures,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Crops Love Rain,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7812924,https://www.curseforge.com/minecraft/mc-mods/crops-love-rain,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
CS - Complementary Structures: Towers,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge beta release file 8128801,https://www.curseforge.com/minecraft/mc-mods/cs-towers,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Dark Wood Moai Villager,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887444,https://www.curseforge.com/minecraft/mc-mods/dark-wood-moai-villager,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Depillage,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8187053,https://www.curseforge.com/minecraft/mc-mods/depillage,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Desert Tombs,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8177931,https://www.curseforge.com/minecraft/mc-mods/desert-tombs,Imported from SQLite URL batch 20260604-next-batch-4 on 2026-06-03.
Dream Displays,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8159630,https://www.curseforge.com/minecraft/mc-mods/dreamdisplays,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Ducky Quack Pack,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8006532,https://www.curseforge.com/minecraft/mc-mods/ducky-quack-pack,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Easter Rabbits,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7979040,https://www.curseforge.com/minecraft/mc-mods/easter-rabbits,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Electronic Device Mod,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8091611,https://www.curseforge.com/minecraft/mc-mods/edm,Imported from SQLite URL batch 20260604-next-batch-3 on 2026-06-03.
Enhanced Mob Variants,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7943610,https://www.curseforge.com/minecraft/mc-mods/enhanced-mob-variants,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Epic Structures: Villages,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,Modrinth release release file YeTKEH5c,https://modrinth.com/mod/epic-structures-villages,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Fields,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 8163350,https://www.curseforge.com/minecraft/mc-mods/fields,Imported from SQLite URL batch 20260604-next-batch-6 on 2026-06-04.
Gamingbarn's Guns,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7851420,https://www.curseforge.com/minecraft/mc-mods/gamingbarns-guns,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Gamingbarn's Modern Guns,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7882149,https://www.curseforge.com/minecraft/mc-mods/gamingbarns-modern-guns,Imported from SQLite URL batch 20260604-next-batch-3 on 2026-06-03.
Gardener's Dream,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,Modrinth release release file DpEh8uX3,https://modrinth.com/mod/gardeners-dream,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Ghost Moai Villager,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887466,https://www.curseforge.com/minecraft/mc-mods/ghost-moai-villager,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Giant Cherry Blossom Bonsai Tree,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8116372,https://www.curseforge.com/minecraft/mc-mods/giant-cherry-blossom-bonsai-tree,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Giant Natural Additions,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7942999,https://www.curseforge.com/minecraft/mc-mods/giant-natural-additions,Imported from SQLite URL batch 20260604-next-batch-4 on 2026-06-03.
Golems Kill Creepers,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7831912,https://www.curseforge.com/minecraft/mc-mods/golemskillcreepers,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Greek Moai Villager,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887470,https://www.curseforge.com/minecraft/mc-mods/greek-moai-villager,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Grim Kingdoms: Lost structures & ruins,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7780576,https://www.curseforge.com/minecraft/mc-mods/grim-kingdoms,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Grim kingdoms: Vanilla Edition,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7897154,https://www.curseforge.com/minecraft/mc-mods/grim-kingdoms-lost-structures-ruins-vanilla,Imported from SQLite URL batch 20260604-next-batch-3 on 2026-06-03.
Harvest with ease,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8009541,https://www.curseforge.com/minecraft/mc-mods/harvest-with-ease,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
HealingBed,Requested URL batch,Client only,Mod,OK,26.1.2,Client-only: included,/var/minecraft_26.1.2/mods.failed,Included,2026-06-03,CurseForge stable release file 8175035,https://www.curseforge.com/minecraft/mc-mods/healingbed,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Ice Moai Villager,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-04,CurseForge stable release file 7887475,https://www.curseforge.com/minecraft/mc-mods/ice-moai-villager,Imported from SQLite URL batch 20260604-next-batch-5 on 2026-06-04.
Illager Arena,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7964071,https://www.curseforge.com/minecraft/mc-mods/illager-arena,Imported from SQLite URL batch 20260604-next-batch-3 on 2026-06-03.
Illager Fortress,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 8147600,https://www.curseforge.com/minecraft/mc-mods/illager-fortress,Imported from SQLite URL batch 20260604-next-batch-3 on 2026-06-03.
Illagers Wear Armor,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge stable release file 7888661,https://www.curseforge.com/minecraft/mc-mods/illagers-wear-armor,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
Immersive Vehicles,Requested URL batch,Server + client,Mod,OK,26.1.2,OK,/var/minecraft_26.1.2/mods,Included,2026-06-03,CurseForge beta release file 8148961,https://www.curseforge.com/minecraft/mc-mods/minecraft-transport-simulator,Imported from SQLite URL batch 20260603-next-batch-2 on 2026-06-03.
