Mod,Installation,Type,Tested, Notes 1,Notes 2,URL,Target MC,Server Status,Server File,Client Package,Last Tested,Resolved Source,Migration Notes
Dramatic Skys,Client,Resource Pack,OK,Texture Pack (resourcepacks),https://www.patreon.com/cw/thebaum64,https://www.curseforge.com/minecraft/texture-packs/dramatic-skys/files/all?page=1&pageSize=20,26.1.2,Client-only: included,client-package/resourcepacks/Dramatic Skys Demo 1.5.3.36.4.zip,Included,2026-06-03,CurseForge stable release file 8145817,"Client-only resource pack, not installed on the server. Stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Server Optimizer,,,,,,,,,,,,,
Lithium,Server & Client,Server Optimizer,OK,Core Tick & Logic Optimizers,Server/client jar included,https://www.curseforge.com/minecraft/mc-mods/lithium/files/8161947,26.1.2,OK,lithium-neoforge-0.24.4+mc26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8161947,"Boot test row23_lithium passed: STATUS=started, ERROR_LINES=0."
ServerCore,Server & Client,Server Optimizer,OK,Core Tick & Logic Optimizers,Fresh config generated,https://modrinth.com/mod/servercore/version/tcwIcZH7,26.1.2,OK,servercore-neoforge-1.5.17+26.1.2.jar,Included,2026-06-03,Modrinth release tcwIcZH7,Initial test exposed stale 1.21.8 ServerCore config category GLARES. Moved old config to config_previous_1.21.8; retest row24_servercore_fresh_config passed ERROR_LINES=0.
FerriteCore,Server & Client,Server Optimizer,OK,Memory & Entities,Server/client jar included,https://www.curseforge.com/minecraft/mc-mods/ferritecore/files/7806039,26.1.2,OK,ferritecore-9.0.0-neoforge.jar,Included,2026-06-03,CurseForge stable release file 7806039,"Boot test row25_ferritecore passed previously. Requested again 2026-06-03; already active and in client package, no duplicate row added."
Clumps,Server & Client,Server Optimizer,Skip,Memory & Entities,No stable 26.1.x NeoForge file,https://www.curseforge.com/minecraft/mc-mods/clumps/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Skipped to honor stable-compatible-only rule; existing 1.21.8 jar remains only in mods_previous_1.21.8.
AI Improvements,Server & Client,Server Optimizer,OK,Memory & Entities,26.1.1 jar tested on 26.1.2,https://www.curseforge.com/minecraft/mc-mods/ai-improvements/files/7878374,26.1.2,OK,AI-Improvements-26.1.1-0.5.4.jar,Included,2026-06-03,CurseForge stable release file 7878374,"No exact 26.1.2 file found; stable 26.1.1 NeoForge file passed on 26.1.2. Requested again 2026-06-03; already active and in client package, no duplicate row added."
Connectivity,Server & Client,Server Optimizer,OK,Networking & I/O,Requires Cupboard >=3.1,https://www.curseforge.com/minecraft/mc-mods/connectivity/files/7866655,26.1.2,OK,connectivity-26.1-7.6.jar,Included,2026-06-03,CurseForge stable release file 7866655,"Initial test failed missing Cupboard. After installing Cupboard row31, retest row31_cupboard_with_connectivity_retest passed ERROR_LINES=0."
Dynamic View,Server & Client,Server Optimizer,OK,Chunk & Save,26.1 jar tested on 26.1.2,https://www.curseforge.com/minecraft/mc-mods/dynamic-view/files/8021515,26.1.2,OK,dynamicviewdist-26.1-4.0.jar,Included,2026-06-03,CurseForge stable release file 8021515,"Boot test row29_dynamic_view passed: STATUS=started, ERROR_LINES=0."
Smooth Chunk Save,Server & Client,Server Optimizer,OK,Chunk & Save,26.1 jar tested on 26.1.2,https://www.curseforge.com/minecraft/mc-mods/smooth-chunk-save/files/7898824,26.1.2,OK,smoothchunk-26.1-4.2.jar,Included,2026-06-03,CurseForge stable release file 7898824,"Boot test row30_smooth_chunk_save passed: STATUS=started, ERROR_LINES=0."
Cupboard,Server & Client,Server Optimizer,OK,API,Dependency for Connectivity,https://www.curseforge.com/minecraft/mc-mods/cupboard/files/7904113,26.1.2,OK,cupboard-26.1-3.7.jar,Included,2026-06-03,CurseForge stable release file 7904113,Installed early because Connectivity requires Cupboard >=3.1. Combined boot test passed ERROR_LINES=0.
Chunk Sending,Server & Client,Server Optimizer,Skip,Chunk & Save,No stable 26.1.x NeoForge file,https://www.curseforge.com/minecraft/mc-mods/chunk-sending-forge-fabric/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Skipped to honor stable-compatible-only rule; existing 1.21.x jar remains only in mods_previous_1.21.8.
Alternate Current,Server & Client,Server Optimizer,OK,Game Logic & Bug Fixes,26.1 jar tested on 26.1.2,https://www.curseforge.com/minecraft/mc-mods/alternate-current/files/7872068,26.1.2,OK,alternate_current-mc26.1-1.9.0.jar,Included,2026-06-03,CurseForge stable release file 7872068,"Boot test row33_alternate_current passed: STATUS=started, ERROR_LINES=0."
ModernFix,Server & Client,Server Optimizer,OK,Game Logic & Bug Fixes,Server/client jar included,https://www.curseforge.com/minecraft/mc-mods/modernfix/files/8099992,26.1.2,OK,modernfix-neoforge-5.27.12+mc26.1.2.jar,Included,2026-06-03,CurseForge stable release file 8099992,"Boot test row34_modernfix passed: STATUS=started, ERROR_LINES=0."
,,,,,,,,,,,,,
,,,,,,,,,,,,,
World Mods - Fix,,,,,,,,,,,,,
Everything Japanese,Server & Client,Mod,Crash,,,https://www.curseforge.com/minecraft/mc-mods/everything-japanese/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Failed server boot,everythingjapanese-1.25.0-26.1.2-slim.jar,Not included,2026-06-03,CurseForge stable release file 8068064,"Dependencies GeckoLib 5.5.1 and EverythingCore 6.0.0 resolved, then dedicated server crashed: NoClassDefFoundError net/minecraft/client/model/geom/builders/LayerDefinition. Moved tested jars to mods.failed/row38_everything_japanese."
,,,,,,,,,,,,,
,,,,,,,,,,,,,
World Mods,,,,,,,,,,,,,
Abridged,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/abridged/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Skipped to honor stable-compatible-only rule; existing older jar remains only in mods_previous_1.21.8 if present.
Additional Biomes,Server,Datapack,Skip,,,https://modrinth.com/datapack/additional-biomes/versions?l=neoforge,26.1.2,No compatible release,Not installed,Not included,2026-06-03,Modrinth search returned no stable 26.1.2/26.1 datapack or NeoForge release,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Additional Lanterns,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/additional-lanterns/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Additional Lights,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/additional-lights/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,additional_lights-neoforge-26.1.2-3.1.0.jar,Included,2026-06-03,CurseForge stable release file 7923974,"Boot test row45_additional_lights passed: STATUS=started, ERROR_LINES=0."
Additional Structures,Server & Client,Mod,Skip,Magma Core API,,https://www.curseforge.com/minecraft/mc-mods/additional-structures/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Advanced Chimneys,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/advanced-chimneys/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,adchimneys-26.1.0.0-neoforge-26.1.2-build.0046.jar,Included,2026-06-03,CurseForge stable release file 7910107,"Installed with ForgeEndertech dependency. Boot test row47_advanced_chimneys reached Done and stopped cleanly; WARN-level optional compat ClassNotFoundException lines were for absent optional mods, not startup failure."
Ambient Environment,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/ambient-environment/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,AmbientEnvironment-neoforge-26.1.2-26.1.2.1.jar,Included,2026-06-03,CurseForge stable release file 7911750,"Boot test row48_ambient_environment reached Done and stopped cleanly. CurseForge marks the file as release; the mod's own update checker reported BETA for the same current version, so this is noted for review."
Architectury API,Server & Client,API,Skip,,,https://www.curseforge.com/minecraft/mc-mods/architectury-api/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
ATi Structures - Datapack,Server,Datapack,Skip,,,https://www.curseforge.com/minecraft/data-packs/ati-structures-datapack/files/all?page=1&pageSize=20,26.1.2,No resolvable project,Not installed,Not included,2026-06-03,CurseForge exact slug and broad search did not resolve the listed datapack,Skipped because the URL slug ati-structures-datapack did not resolve to a CurseForge project and broad searches returned unrelated projects.
Awesome Dungeon - NeoForge,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/awesome-dungeon-neoforge/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Bagus Lib,Server & Client,API,OK,Earth Mobs,,https://www.curseforge.com/minecraft/mc-mods/bagus-lib/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,bagus_lib-26.1.2-26.2.0.jar,Included,2026-06-03,CurseForge stable release file 7959019,Boot test row52_bagus_lib reached Done and stopped cleanly. WARN-level optional Advanced Chimneys compatibility class checks are carried from row47 and not fatal.
Better McDonald's Mod,Server & Client,Mod,Crash,,,https://www.curseforge.com/minecraft/mc-mods/better-mcdonalds-mod/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Failed server boot,better_mcdonalds_mod-neoforge-5.0.1+26.1.1.jar,Not included,2026-06-03,CurseForge stable release file 7878692,"Initial boot failed because Balm was missing. Installed stable Balm 26.1.2.6 dependency, then row53_better_mcdonalds_with_balm crashed during registry init: NoSuchMethodError BMMAddItemModifier.codecStart. Moved tested mod and Balm to mods.failed/row53_better_mcdonalds."
Better Villages - NeoForge,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/better-village-neoforge/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Biomes O' Plenty,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/biomes-o-plenty/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,BiomesOPlenty-neoforge-26.1.2-26.1.2.0.13.jar,Included,2026-06-03,CurseForge stable release file 8173269; beta dependencies GlitchCore 8109770 and TerraBlender rg59ugAw,"Accepted under relaxed beta dependency policy and already active. Requested again 2026-06-03; latest compatible file already installed, no duplicate row added."
Buried Wrecks,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/buriedwrecks/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,BuriedWrecks-26.1.2-13.0.0.jar,Included,2026-06-03,CurseForge beta release file 7951433,Accepted under relaxed beta policy. Boot test row56_buriedwrecks_relaxed reached Done with only baseline optional Advanced Chimneys mixin warnings; included in Mac client package.
Bushy Crops,Client,Resource Pack,OK,,,https://www.curseforge.com/minecraft/texture-packs/bushy-crops/files/all?page=1&pageSize=20,26.1.2,Client-only: included,client-package/resourcepacks/bushy-crops-2.0.zip,Included,2026-06-03,CurseForge stable release file 7886372,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
Cavernous,Server & Client,Mod,Skip,Use Mod not Datapack,,https://modrinth.com/datapack/cavernous/versions,26.1.2,No compatible release,Not installed,Not included,2026-06-03,Modrinth search returned no stable 26.1.2/26.1 NeoForge release,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
CherryVillage,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/cherryvillage/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,cherry_village-1.0.0-26.1-NeoForge.jar,Included,2026-06-03,CurseForge stable release file 7827250,Stable 26.1 NeoForge file is tagged compatible with 26.1.2. Boot test row59_cherryvillage reached Done and stopped cleanly; existing Advanced Chimneys optional WARN class checks are non-fatal.
Cinch's Abandoned Houses,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/cinchs-abandoned-houses/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,cinchsabandonedhouses[NeoForge-1.21.x-26.1.x]-2.0.jar,Not required (server-only),2026-06-03,CurseForge stable release file 8034846,"Boot test row60_cinchs_abandoned_houses reached Done and stopped cleanly. CurseForge file metadata includes Server but not Client, so not copied to client package."
Cinch's Villager Statues,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/cinchs-villager-statues/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,cinchsvillagerstatues-[NeoForge-1.21.x-26.1.x]-3.5.jar,Not required (server-only),2026-06-03,CurseForge stable release file 8066654,"Boot test row61_cinchs_villager_statues reached Done and stopped cleanly. CurseForge file metadata includes Server but not Client, so not copied to client package."
Cloth Config API,Server & Client,API,OK,,,https://modrinth.com/mod/cloth-config/changelog?l=neoforge,26.1.2,OK,cloth-config-26.1.154.jar,Included,2026-06-03,Modrinth release TimoYzse,Boot test row62_cloth_config reached Done and stopped cleanly; copied to client package.
Critter Armory,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/critter-armory/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,critterarmory-26.1.2-0.6.5-neoforge.jar,Included,2026-06-03,CurseForge stable release file 8173377,Boot test row63_critter_armory reached Done and stopped cleanly; copied to client package.
Custom fences and walls,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/customfence/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,customfence-26-1.jar,Included,2026-06-03,CurseForge stable release file 8011352,Boot test row64_custom_fences reached Done and stopped cleanly; first run corrected/generated customfence-common.toml.
Da Bomb,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/da-bomb/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,DaBomb-26.1.2-0.8.0.jar,Included,2026-06-03,CurseForge beta release file 7936784,Accepted under relaxed beta policy. Boot test row65_dabomb_relaxed reached Done after correcting the CurseForge CDN URL to /7936/784/; included in Mac client package.
Display Case,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/displaycase/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,display_case-neoforge-26.1-1.4.jar,Included,2026-06-03,CurseForge stable release file 8084771,Stable 26.1 NeoForge file is tagged compatible with 26.1.2. Boot test row66_display_case reached Done and stopped cleanly; copied to client package.
DnT Desert Temple Overhaul,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/dnt-desert-temple-overhaul/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,DnT-desert-temple-overhaul-v2.1 [NeoForge].jar,Not required (server-only),2026-06-03,CurseForge stable release file 7053465,"Boot test row67_dnt_desert_temple reached Done and stopped cleanly. CurseForge file metadata includes Server but not Client, so not copied to client package."
Dynamite,Server & Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/dynamite/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge search returned no stable NeoForge 26.1.2/26.1 file,Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Earth Mobs,Server & Client,Mod,Log Error,,,https://www.curseforge.com/minecraft/mc-mods/earth-mobs/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Rejected: log error,earthmobsmod-26.1.2-29.1.0.jar,Not included,2026-06-03,CurseForge stable release file 8179297,"Bagus Lib dependency was already installed. Server reached Done, but row69_earth_mobs logged ERROR parsing neoforge:loot_modifiers/global_loot_modifiers.json for earthmobsmod entries, so jar was moved to mods.failed/row69_earth_mobs."
EMF - Entity Model Features,Server & Client,API,OK,,,https://www.curseforge.com/minecraft/mc-mods/entity-model-features/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Client-only: included,client-package/mods/entity_model_features-3.2.4-26.1-neoforge.jar,Included,2026-06-03,CurseForge stable release file 8063579,"Client-only NeoForge mod/API, not installed on the server. Latest stable 26.1.x-compatible NeoForge jar was copied to client-package/mods."
ETF - Entity Texture Features,Server & Client,API,OK,,,https://www.curseforge.com/minecraft/mc-mods/entity-texture-features-fabric/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Client-only: included,client-package/mods/entity_texture_features_26.1-neoforge-7.1.jar,Included,2026-06-03,CurseForge stable release file 7930640,"Client-only NeoForge mod/API, not installed on the server. Strict loader check selected the NeoForge jar, not the Fabric file, and copied it to client-package/mods."
Explorify - Dungeons & Structures,Server,Datapack,Skip,,,https://www.curseforge.com/minecraft/mc-mods/explorify/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,No compatible release,Not installed,Not included,2026-06-03,CurseForge project 931611,"CurseForge API returned no stable NeoForge/datapack files for Minecraft 26.1.2, 26.1.1, or 26.1. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later."
FallingTree,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/falling-tree/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,FallingTree-26.1.2-25-codexfix.jar,Included,2026-06-03,CurseForge stable release file 8129003; local codexfix copy,Original jar logged a missing META-INF/neoforge.accesstransformer.cfg error. A local copy was patched by adding the declared empty file; boot test row73_fallingtree_patched reached Done with only baseline optional warnings. Included in client package because mod side is BOTH.
Fancy Beds,Client,Resource Pack,OK,,,https://www.curseforge.com/minecraft/texture-packs/fancy-beds/files/all?page=1&pageSize=20,26.1.2,Client-only: included,client-package/resourcepacks/Fancy_Beds-v4.1.zip,Included,2026-06-03,CurseForge stable release file 7148803,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
Farm 3D,Client,Resource Pack,OK,,,https://www.curseforge.com/minecraft/texture-packs/farm-3d/files/all?page=1&pageSize=20,26.1.2,Client-only: included,client-package/resourcepacks/Farm 3D.zip,Included,2026-06-03,CurseForge stable release file 8111213,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
Fish of Thieves,Server & Client,Mod,OK,,,https://www.curseforge.com/minecraft/mc-mods/fish-of-thieves/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,fish_of_thieves-mc26.1.2-v26.1.2.0-neoforge.jar,Included,2026-06-03,CurseForge stable release file 7939174,Boot test row76_fish_of_thieves reached Done and stopped cleanly; jar is tagged NeoForge 26.1.2 and was copied to the client package.
Flower Pots +,Client,Resource Pack,Skip,,,https://www.curseforge.com/minecraft/texture-packs/flower-pots/files/all?page=1&pageSize=20,26.1.2,Skipped: no compatible stable release,Not installed on server,Not included,2026-06-03,CurseForge project 377992,CurseForge API returned no stable 26.1.x-compatible resource pack file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
Fog,Client,Mod,Skip,,,https://www.curseforge.com/minecraft/mc-mods/fog/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Skipped: no compatible stable release,Not installed on server,Not included,2026-06-03,CurseForge project 815438,CurseForge API returned no stable 26.1.x-compatible NeoForge client mod file. Relaxed pass allowed beta and any 26.x; broad scan found no compatible NeoForge/datapack candidate. Recheck upstream later.
ForgeEndertech,Server & Client,API,OK,Advanced Chimneys,,https://www.curseforge.com/minecraft/mc-mods/forgeendertech/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,forgeendertech-26.1.0.0-neoforge-26.1.2-build.0046.jar,Included,2026-06-03,CurseForge stable release file 7910063,Dependency for Advanced Chimneys. Stable Client/Server NeoForge 26.1.2 jar is installed and copied to the client package; validated by subsequent cumulative boot tests.
Framework,Server & Client,API,OK,,,https://www.curseforge.com/minecraft/mc-mods/framework/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,framework-neoforge-26.1.2-0.13.23.jar,Included,2026-06-03,CurseForge stable release file 7964506,Boot test row80_framework reached Done and stopped cleanly; copied API jar to client package.
Friends&Foes ,Server & Client,Mod,Log Error,,,https://www.curseforge.com/minecraft/mc-mods/friends-and-foes-forge/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,Rejected: log error,friendsandfoes-neoforge-4.0.26+mc26.1.2.jar,Not included,2026-06-03,CurseForge stable release file 8154562,"Initial boot required Resourceful Lib. With Resourceful Lib installed, server reached Done but row81_friends_and_foes_with_resourceful_lib logged ERROR parsing neoforge:loot_modifiers/global_loot_modifiers.json for friendsandfoes entry. Moved jar to mods.failed/row81_friends_and_foes."
Furnicraft,Server,Datapack,OK,Use Mod not Datapack,/trigger getcatalog,https://modrinth.com/datapack/ketkets-furnicraft/changelog?l=neoforge,26.1.2,OK,furnicraft-26.1.zip,Not required (server datapack),2026-06-03,Modrinth release b1tw1wqr,Stored in server-datapacks and copied to world/datapacks. Boot test row82_furnicraft_datapack detected file/furnicraft-26.1.zip and reached Done cleanly.
GeckoLib,Server & Client,API,OK,,,https://www.curseforge.com/minecraft/mc-mods/geckolib/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,geckolib-neoforge-26.1.2-5.5.1.jar,Included,2026-06-03,CurseForge stable release file 7913641,Boot test row83_geckolib reached Done and stopped cleanly; copied to client package.
Genshin Villager,Client,Resource Pack,OK,,,https://www.curseforge.com/minecraft/texture-packs/genshin-villager/files/all?page=1&pageSize=20,26.1.2,Client-only: included,client-package/resourcepacks/Genshin Villagers (No Noise).zip,Included,2026-06-03,CurseForge stable release file 7821689,"Client-only resource pack, not installed on the server. Latest stable 26.1.x-compatible zip was copied to client-package/resourcepacks."
GlitchCore,Server & Client,API,OK,Biomes O' Plenty,,https://www.curseforge.com/minecraft/mc-mods/glitchcore/files/all?page=1&pageSize=20&gameVersionTypeId=6,26.1.2,OK,GlitchCore-neoforge-26.1.2-26.1.2.0.2.jar,Included,2026-06-03,CurseForge beta release file 8109770,Accepted as beta dependency under relaxed policy. Boot test row85_glitchcore_relaxed reached Done with only baseline optional Advanced Chimneys mixin warnings; included in Mac client package.
